Case_Number,Date,Offense,Description,Block,City,State,latitude,longitude
1800041740,5/13/18,HOMICIDE,MURDER/GUN 2ND DEGREE,8770 ELMGROVE GARDEN DR,BATON ROUGE,LA,30.527202,-91.169238
1800030219,4/6/18,Assault,DOMESTIC ABUSE BATTERY/CC,4902 AIRLINE HW,BATON ROUGE,LA,30.508474,-91.140584
1800096137,10/18/18,ASSAULT,ASSAULT/SIMPLE/CC,4055 PRESCOTT RD,BATON ROUGE,LA,30.487427,-91.146232
1800035612,4/24/18,Assault,DOMESTIC ABUSE BATT,4888 HOOPER RD,BATON ROUGE,LA,30.524239,-91.142071
1800006273,1/19/18,ASSAULT,ASSAULT/AGG/CC,2434 CABLE ST,BATON ROUGE,LA,30.490074,-91.166224
1800048719,6/4/18,Assault,DOMESTIC ABUSE BATTERY/CC,6764 RENOIR AV,BATON ROUGE,LA,30.461008,-91.121703
1800093224,10/9/18,Assault,DOMESTIC ABUSE BATT,3102 JEFFERSON AV,BATON ROUGE,LA,30.464524,-91.157666
1800034157,4/19/18,ASSAULT,ASSAULT/ AGG FIREARM,2200 KENTUCKY ST,BATON ROUGE,LA,30.427156,-91.174503
1800119542,12/30/18,ASSAULT,DOMESTIC ABUSE BATTERY,6434 GREENWELL SPRINGS RD,BATON ROUGE,LA,30.469868,-91.126084
1800040678,5/10/18,ASSAULT,ASSAULT/SIMPLE,3600 FLORIDA ST,BATON ROUGE,LA,30.450336,-91.154638
1800080342,9/1/18,Assault,BATT/SIMPLE/CC,3446 DRUSILLA LN,BATON ROUGE,LA,30.419465,-91.088596
1800093895,10/11/18,HOMICIDE,MURDER/GUN 2ND DEGREE,130 S 16TH ST,BATON ROUGE,LA,30.447429,-91.172879
1800042451,5/16/18,ASSAULT,ASSAULT/SIMPLE/CC,3579 VICTORIA DR,BATON ROUGE,LA,30.482417,-91.117685
1800089346,9/28/18,Assault,DOMESTIC ABUSE BATTERY/CC,10211 CASHEL AV,BATON ROUGE,LA,30.453281,-91.072892
1800068725,7/29/18,ASSAULT,DOMESTIC ABUSE BATTERY,3748 POCASSET ST,BATON ROUGE,LA,30.482618,-91.163316
1800030720,4/7/18,Assault,DOMESTIC ABUSE BATTERY/CC,1452 DUANE ST,BATON ROUGE,LA,30.434205,-91.186388
1800031098,4/9/18,Assault,BATT/SIMPLE,4755 PRESCOTT DR,BATON ROUGE,LA,30.487508,-91.143024
1800112211,12/7/18,Assault,DOMESTIC ABUSE BATT,4762 WASHINGTON AV,BATON ROUGE,LA,30.466045,-91.142067
